trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
216,False,"{'a': 0.006007875, 'e': 0.2748051095781101}",20,0,24.89114041902851,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
217,False,"{'a': 0.006007875, 'e': 0.2731590643983494}",25,7,-57.27915319992391,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
218,False,"{'a': 0.006007875, 'e': 0.2715228788050351}",20,16,6.301853850271411,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.006007875, 'e': 0.2698964937405873}",20,7,27.901913715097837,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.006007875, 'e': 0.26827985050117276}",30,14,-17.525983487764268,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
221,False,"{'a': 0.006007875, 'e': 0.2666728907345864}",20,16,6.482700197979147,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.006007875, 'e': 0.2650755564381447}",20,0,-36.59944445472783,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
223,False,"{'a': 0.006007875, 'e': 0.2634877899565925}",30,16,-16.083814295853603,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
224,False,"{'a': 0.006007875, 'e': 0.26190953398002165}",25,16,18.125430410202604,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.006007875, 'e': 0.2603407315418026}",30,0,-17.16959889949244,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
226,False,"{'a': 0.006007875, 'e': 0.2587813260165281}",25,13,7.291360182450578,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.006007875, 'e': 0.25723126111796946}",25,3,-71.44184188130794,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 2}",1
228,False,"{'a': 0.006007875, 'e': 0.25569048089704466}",20,0,24.69461781044309,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
229,False,"{'a': 0.006007875, 'e': 0.25415892973979937}",25,14,-32.94916191117208,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
230,False,"{'a': 0.006007875, 'e': 0.2526365523653989}",25,5,19.974394862448868,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.006007875, 'e': 0.2511232938241336}",20,0,7.829268922930191,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
232,False,"{'a': 0.006007875, 'e': 0.24961909949543473}",35,18,-4.894181613887047,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
233,False,"{'a': 0.006007875, 'e': 0.24812391508590362}",25,0,24.803699274087624,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
234,False,"{'a': 0.006007875, 'e': 0.24663768662735153}",25,12,-2.613326975044249,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
235,False,"{'a': 0.006007875, 'e': 0.2451603604748518}",20,8,-41.4615504115706,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 0}",1
236,False,"{'a': 0.006007875, 'e': 0.24369188330480368}",25,14,6.528431308038708,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.006007875, 'e': 0.24223220211300736}",25,0,-2.944696849307197,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
238,False,"{'a': 0.006007875, 'e': 0.24078126421275114}",20,8,9.948272769159264,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.006007875, 'e': 0.23933901723290943}",25,8,19.876295932831333,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.006007875, 'e': 0.23790540911605265}",25,0,-18.592905443823263,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
241,False,"{'a': 0.006007875, 'e': 0.236480388116568}",20,11,3.5128352539937167,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.006007875, 'e': 0.235063902798792}",25,19,5.645045043437008,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.006007875, 'e': 0.23365590203515363}",20,13,11.599152115035146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.006007875, 'e': 0.23225633500432924}",20,0,-7.587168691070554,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
245,False,"{'a': 0.006007875, 'e': 0.2308651511894078}",25,10,-7.9812629200426315,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
